Protein,Billings,Pcpro,PremDock
15.00%,105,15,1.05
14.75%,90,14.75,0.9
14.50%,90,14.5,0.9
14.25%,75,14.25,0.75
14.00%,75,14,0.75
13.75%,60,13.75,0.6
13.50%,60,13.5,0.6
13.25%,45,13.25,0.45
13.00%,45,13,0.45
12.75%,30,12.75,0.3
12.50%,30,12.5,0.3
12.25%,15,12.25,0.15
12.00%,15,12,0.15
11.75%,0,11.75,0
11.50%,0,11.5,0
11.25%,0,11.25,0
11.00%,-25,11,-0.25
10.75%,-25,10.75,-0.25
10.50%,-50,10.5,-0.5
10.25%,-50,10.25,-0.5
10.00%,-75,10,-0.75
9.75%,-75,9.75,-0.75
9.50%,-100,9.5,-1
9.25%,-100,9.25,-1
9.00%,-125,9,-1.25
8.75%,-125,8.75,-1.25
8.50%,-150,8.5,-1.5
8.25%,-150,8.25,-1.5
8.00%,-175,8,-1.75
7.75%,-175,7.75,-1.75
7.50%,-200,7.5,-2
7.25%,-200,7.25,-2
7.00%,-225,7,-2.25
